city,lat,lng
Malisheve,42.4822,20.7458
Prizren,42.2139,20.7397
Zubin Potok,42.9144,20.6897
Kamenice,42.5781,21.5803
Viti,42.3214,21.3583
Shterpce,42.2394,21.0272
Shtime,42.4331,21.0397
Vushtrri,42.8231,20.9675
Dragash,42.0265,20.6533
Podujeve,42.9111,21.1899
Fushe Kosove,42.6639,21.0961
Kacanik,42.2319,21.2594
Kline,42.6217,20.5778
Leposaviq,43.1039,20.8028
Peje,42.66,20.2922
Rahovec,42.3994,20.6547
Gjilan,42.4689,21.4633
Lipjan,42.5217,21.1258
Obiliq,42.6869,21.0703
Gjakove,42.3803,20.4308
Pristina,42.6666,21.1724
Decan,42.5378,20.2911
Istog,42.7808,20.4875
Hani i Elezit,42.15,21.2967
Junik,42.4758,20.2772
Kllokot,42.3714,21.3744
Mamushe,42.3308,20.7269
Partesh,42.4019,21.4336
Ranillug,42.4922,21.5989
Ferizaj,42.3706,21.1553
Zvecan,42.9075,20.8403
Suhareke,42.3586,20.825
Gllogovc,42.6283,20.8939
Mitrovice,42.8833,20.8667
Skenderaj,42.7467,20.7886
Novoberde,42.6178,21.4197
Gracanice,42.6011,21.1958
Longyearbyen,78.2167,15.6333
Al Quds,31.7764,35.2269
Sanaa,15.3547,44.2066
Marib,15.421,45.334
Al Jabin,14.704,43.599
Hajjah,15.6917,43.6021
Ibb,13.9759,44.1709
Al Hudaydah,14.7979,42.953
Lahij,13.0582,44.8838
Al Mahwit,15.4701,43.5448
Taizz,13.6045,44.0394
Sadah,16.9398,43.8498
Dhamar,14.5575,44.3875
Amran,15.6594,43.9439
Ad Dali,13.6957,44.7314
Saywun,15.943,48.7873
Al Bayda,13.979,45.574
Zinjibar,13.1287,45.3807
Rida,14.4295,44.8341
Ataq,14.55,46.8
Al Ghaydah,16.2394,52.1638
Sayhut,15.2105,51.2454
Al Mukalla,14.5412,49.1259
Al Hazm,16.1641,44.7769
Zabid,14.1951,43.3155
Aden,12.7797,45.0095
Hadiboh,12.6519,54.0239
Ash Shihr,14.7593,49.6092
Dzaoudzi,-12.7871,45.275
Lebowakgomo,-24.1996,29.5
Potchefstroom,-26.6996,27.1
Graaff Reinet,-32.3,24.54
Rustenburg,-25.65,27.24
Brandfort,-28.6996,26.47
Vryheid,-27.76,30.79
Vereeniging,-26.6496,27.96
Brits,-25.6296,27.78
Bethlehem,-28.2196,28.3
Ubomba,-27.5661,32.0833
Polokwane,-23.89,29.45
Springbok,-29.6667,17.8833
Thohoyandou,-22.95,30.48
Pietermaritzburg,-29.61,30.39
Poffader,-29.1329,19.3834
Carnarvon,-30.9496,22.1333
Kroonstad,-27.66,27.21
Alexander Bay,-28.6083,16.5033
Bloemhof,-27.6496,25.59
Hermanus,-34.4096,19.2299
Bethal,-26.4696,29.45
Upington,-28.46,21.23
Tzaneen,-23.8195,30.17
Vanhynsdorp,-31.6166,18.7333
Kimberley,-28.7468,24.77
Durban,-29.865,30.98
Klerksdorp,-26.88,26.62
Welkom,-27.97,26.73
De Aar,-30.65,24
Prieska,-29.6595,22.73
Saldanha,-33.01,17.93
Middelburg,-31.5,25.01
Port St. Johns,-31.6279,29.5283
Volksrust,-27.3596,29.89
Ulundi,-28.3296,31.41
Beaufort West,-32.3496,22.57
Komatipoort,-25.4096,31.94
Nelspruit,-25.4745,30.9703
Standerton,-26.9395,29.24
Johannesburg,-26.17,28.03
Kuruman,-27.4496,23.42
Paarl,-33.6996,18.96
Worcester,-33.64,19.4399
Colesberg,-30.7195,25.1
Umtata,-31.58,28.79
Aliwal North,-30.6896,26.71
Middelburg,-25.7596,29.47
Springs,-26.2696,28.43
Benoni,-26.1496,28.3299
Port Shepstone,-30.7195,30.46
Oudtshoorn,-33.58,22.19
Port Elizabeth,-33.97,25.6
Port Alfred,-33.5995,26.88
East London,-32.97,27.87
Mossel Bay,-34.17,22.13
Vryburg,-26.96,24.73
Uitenhage,-33.7596,25.39
Bhisho,-32.87,27.39
Knysna,-34.0329,23.0333
Queenstown,-31.8996,26.88
Cradock,-32.1995,25.61
Bredasdorp,-34.5295,20.03
Swellendam,-34.0196,20.43
Ladysmith,-28.5495,29.78
George,-33.95,22.45
Grahamstown,-33.2996,26.52
Mmabatho,-25.83,25.61
Mahikeng,-25.8652,25.6442
Musina,-22.34,30.03
Pretoria,-25.7069,28.2294
Bloemfontein,-29.12,26.2299
Cape Town,-33.92,18.435
Zambezi,-13.54,23.1099
Solwezi,-12.1796,26.4
Lusaka,-15.4166,28.2833
Kaoma,-14.7796,24.8
Chipata,-13.6296,32.64
Senanga,-16.1196,23.27
Sesheke,-17.4695,24.3
Chililabombwe,-12.3696,27.82
Chingola,-12.5396,27.85
Kasempa,-13.4596,25.82
Kitwe,-12.81,28.22
Mufulira,-12.55,28.26
Nchelenge,-9.3496,28.73
Mazabuka,-15.86,27.76
Lukulu,-14.3896,23.24
Kafue,-15.78,28.18
Lundazi,-12.2895,33.17
Mansa,-11.2,28.89
Mwinilunga,-11.7396,24.44
Mumbwa,-14.9796,27.07
Kalabo,-14.9896,22.68
Nyimba,-14.5495,30.81
Kapiri Mposhi,-13.9696,28.66
Kabwe,-14.44,28.45
Ndola,-12.9999,28.65
Kasama,-10.1996,31.1799
Mbala,-8.84,31.37
Kawambwa,-9.7795,29.08
Luanshya,-13.1333,28.4
Mongu,-15.2796,23.12
Mpika,-11.83,31.46
Chinsali,-10.5496,32.06
Livingstone,-17.86,25.86
Choma,-16.8095,26.97
Plumtree,-20.4795,27.82
Kariba,-16.5296,28.8
Hwange,-18.37,26.5
Chiredzi,-21.0496,31.66
Mazowe,-17.5196,30.97
Zvishavane,-20.3296,30.05
Shamva,-17.3196,31.57
Harare,-17.8178,31.0447
Kwekwe,-18.9296,29.8
Kadoma,-18.33,29.9099
Beitbridge,-22.2096,29.99
Karoi,-16.8196,29.68
Victoria Falls,-17.9296,25.84
Chitungwiza,-18,31.1
Bindura,-17.3019,31.3306
Lupane,-18.9315,27.807
Marondera,-18.1853,31.5519
Masvingo,-20.0596,30.82
Mutare,-18.97,32.65
Bulawayo,-20.17,28.58
Chinhoyi,-17.3596,30.18
Gwanda,-20.9396,29.01
Gweru,-19.45,29.82
Maqat,47.6482,53.3265
Zhangaozen,43.3004,52.8
Taraz,42.9,71.365
Oral,51.2711,51.335
Balqash,46.8532,74.9502
Zaysan,47.4752,84.8598
Oytal,42.9153,73.2549
Zholymbet,51.7502,71.7099
Serebryansk,49.6999,83.4249
Chapaev,50.1915,51.1449
Ridder,50.3554,83.5149
Zhaltyr,51.6324,69.8328
Atbasar,51.8219,68.3477
Aqsay,51.1714,53.0349
Shemonaikha,50.6316,81.905
Atasu,48.6903,71.6499
Rudny,52.9527,63.13
Makhambet,47.6714,51.5798
Fort Shevchenko,44.5171,50.2666
Qusmuryn,52.458,64.6
Oktyabrsk,49.4731,57.4449
Khromtau,50.2699,58.45
Algha,49.9032,57.335
Embi,48.8268,58.1442
Ushtobe,45.2653,77.97
Burylbaytal,44.9387,74.0303
Zhanibek,49.4276,46.8772
Esil,51.957,66.3775
Derzhavinsk,51.1021,66.3075
Saryshaghan,46.1195,73.6191
Turgay,49.626,63.499
Sarqan,45.4203,79.9149
Arqalyq,50.2418,66.8976
Shalqar,47.8363,59.6141
Shieli,44.167,66.75
Bayghanin,48.6917,55.874
Zhezqazghan,47.78,67.77
Mangyshlak,43.6905,51.1417
Zhosaly,45.4877,64.078
Beyneu,45.1834,55.1
Qazaly,45.7628,62.1075
Aral,46.8,61.6666
Ayakoz,47.9647,80.4297
Urzhar,47.1002,81.6048
Qapshaghay,43.8844,77.0687
Esik,43.3691,77.4438
Qaratau,43.1854,70.46
Sharbaqty,52.4999,78.1499
Oostanay,53.2209,63.6283
Kachiry,53.0804,76.09
Kishkenekol,53.6368,72.3414
Bulaevo,54.9053,70.44
Shonzhy,43.5421,79.4703
Qyzylorda,44.8,65.465
Qaraghandy,49.885,73.115
Ertis,53.3453,75.4499
Tayynsha,53.8481,69.7638
Qulan,42.9204,72.705
Shu,43.5953,73.7448
Kentau,43.5165,68.5199
Oskemen,49.99,82.6149
Aqtau,43.6232,51.2365
Taldyqorghan,45,78.4
Astana,51.1811,71.4278
Aqtobe,50.28,57.17
Kokshetau,53.3,69.42
Petropavlovsk,54.88,69.22
Pavlodar,52.3,76.95
Otar,43.5346,75.2139
Almaty,43.325,76.915
Bestobe,52.4997,73.0997
Arys,42.4369,68.8048
Lenger,42.1899,69.8799
Aqsu,52.4502,71.9597
Temirtau,50.065,72.965
Makinsk,52.6404,70.41
Osakarovka,50.5799,72.5699
Qarqaraly,49.4249,75.4649
Ekibastuz,51.73,75.3199
Zyryanovsk,49.7453,84.2548
Komsomolets,53.7506,62.0502
Baykonur,45.6914,63.2413
Erymentau,51.6303,73.1049
Qarazhal,48.0253,70.7999
Tobol,52.698,62.5749
Shar,49.6003,81.0549
Semey,50.435,80.275
Boralday,43.3341,76.8288
Zhetiqara,52.193,61.2399
